project_id,mp_name,constituency,state,district,work_type,latitude,longitude,recommended_date,sanction_date,completion_date,status,allocated_amount,sanctioned_amount,expenditure_reported,unspent_balance,vendor_name,vendor_reg_no,vendor_pan,vendor_registration_date,contract_amount,has_photo,photo_urls,uc_text
MPLAD-KA-2022-1001,Shri Tejasvi Surya,Bengaluru South (KA-26),Karnataka,Bengaluru Urban,School Classroom & Lab Building,13.010248,77.553783,2021-10-13,2021-11-10,,Ongoing,4317565.74,4140758.19,1294869.21,2845888.98,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2018-05-10,3953118.75,False,,"Karya 'School Classroom & Lab Building' at Gram Panchayat Bengaluru Urban successfully completed. Total expenditure Rs 1,294,869.21 verified against Sanction Order 2021/MPLAD/1. Site inspection conducted by Junior Engineer PWD on 01-Jul-2022. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-MA-2023-1002,Shri Rajesh Patil,Pune (MH-34),Maharashtra,Pune,Model Digital Library & Smart Class,18.530199,73.891263,2023-05-10,2023-06-22,2023-12-13,Completed,6166013.2,5553419.02,5690902.25,0.0,Apex Infra Buildtech Pvt Ltd,REG-UP-98213,AABCA1234F,2020-10-16,5469601.1,True,https://mplad-portal.gov.in/photos/geo_proof_2.jpg,"Karya 'Model Digital Library & Smart Class' at Gram Panchayat Pune successfully completed. Total expenditure Rs 5,690,902.25 verified against Sanction Order 2023/MPLAD/2. Site inspection conducted by Junior Engineer PWD on 13-Dec-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-RA-2024-1003,Smt. Meena Devi,Jaipur Rural (RJ-06),Rajasthan,Jaipur,Anganwadi & Nutritious Meal Center,26.847239,75.722775,2022-12-06,2023-01-23,2023-10-16,Completed,3715974.16,3390761.82,3526047.79,0.0,Shree Balaji Constructions,REG-BR-45210,BCDEF2345G,2018-01-20,3234583.36,True,https://mplad-portal.gov.in/photos/geo_proof_3.jpg,"Karya 'Anganwadi & Nutritious Meal Center' at Gram Panchayat Jaipur successfully completed. Total expenditure Rs 3,526,047.79 verified against Sanction Order 2022/MPLAD/3. Site inspection conducted by Junior Engineer PWD on 16-Oct-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-TA-2021-1004,Shri D. Kathir Anand,Vellore (TN-08),Tamil Nadu,Salem,Deep Borewell & Drinking Water Supply,11.595429,78.171802,2022-08-16,2022-09-10,2023-06-15,Completed,1207010.01,1119860.7,1122815.99,0.0,Durga Infratech Projects,REG-JH-77651,LMNOP2345S,2019-06-15,1084295.73,True,https://mplad-portal.gov.in/photos/geo_proof_4.jpg,"Karya 'Deep Borewell & Drinking Water Supply' at Gram Panchayat Salem successfully completed. Total expenditure Rs 1,122,815.99 verified against Sanction Order 2022/MPLAD/4. Site inspection conducted by Junior Engineer PWD on 15-Jun-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-KA-2022-1005,Shri Tejasvi Surya,Bengaluru South (KA-26),Karnataka,Bengaluru Urban,Community Health Center Expansion,13.041465,77.618286,2021-12-17,2022-03-10,2022-11-11,Completed,3735821.48,3463087.02,3602652.38,0.0,Durga Infratech Projects,REG-JH-77651,LMNOP2345S,2017-07-03,3409090.91,True,https://mplad-portal.gov.in/photos/geo_proof_5.jpg,"Karya 'Community Health Center Expansion' at Gram Panchayat Bengaluru Urban successfully completed. Total expenditure Rs 3,602,652.38 verified against Sanction Order 2021/MPLAD/5. Site inspection conducted by Junior Engineer PWD on 11-Nov-2022. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-CH-2023-1006,Shri Sunil Soni,Raipur (CG-08),Chhattisgarh,Raipur,Road Construction & Culverts,21.302888,81.678407,2023-04-02,2023-05-21,2023-08-05,Completed,7100368.0,7012584.47,6738449.39,274135.08,Pioneer Civil Works,REG-RJ-77412,DEFGH4567J,2017-04-14,6891771.2,True,https://mplad-portal.gov.in/photos/geo_proof_6.jpg,"Karya 'Road Construction & Culverts' at Gram Panchayat Raipur successfully completed. Total expenditure Rs 6,738,449.39 verified against Sanction Order 2023/MPLAD/6. Site inspection conducted by Junior Engineer PWD on 05-Aug-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-BI-2024-1007,Shri Arvind Singh,Patna Sahib (BR-30),Bihar,Patna,Community Health Center Expansion,25.55356,85.147419,2022-06-23,2022-09-20,,Sanctioned,3295803.54,3038507.0,757756.25,2280750.75,National Highway Contractors,REG-MH-11209,CDEFG3456H,2020-08-20,2963991.61,False,,"Karya 'Community Health Center Expansion' at Gram Panchayat Patna successfully completed. Total expenditure Rs 757,756.25 verified against Sanction Order 2022/MPLAD/7. Site inspection conducted by Junior Engineer PWD on 08-Mar-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-JH-2021-1008,Shri Sanjay Seth,Ranchi (JH-08),Jharkhand,Ranchi,Road Construction & Culverts,23.288555,85.255197,2023-05-15,2023-06-07,2023-11-12,Completed,7472849.66,7120963.89,7450238.61,0.0,Shree Balaji Constructions,REG-BR-45210,BCDEF2345G,2021-04-06,7071394.75,False,,"Karya 'Road Construction & Culverts' at Gram Panchayat Ranchi successfully completed. Total expenditure Rs 7,450,238.61 verified against Sanction Order 2023/MPLAD/8. Site inspection conducted by Junior Engineer PWD on 12-Nov-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-KA-2022-1009,Shri Tejasvi Surya,Bengaluru South (KA-26),Karnataka,Bengaluru Urban,Community Hall & Cyclone Shelter,13.014576,77.569028,2022-08-25,2022-11-03,2023-02-11,Completed,7176711.49,7087614.73,6763289.57,324325.16,Sai Krupa Water Solutions,REG-MP-88321,EFGHI5678K,2020-08-20,6910632.07,True,https://mplad-portal.gov.in/photos/geo_proof_9.jpg,"Karya 'Community Hall & Cyclone Shelter' at Gram Panchayat Bengaluru Urban successfully completed. Total expenditure Rs 6,763,289.57 verified against Sanction Order 2022/MPLAD/9. Site inspection conducted by Junior Engineer PWD on 11-Feb-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
MPLAD-CH-2023-1010,Shri Sunil Soni,Raipur (CG-08),Chhattisgarh,Raipur,Community Health Center Expansion,21.252626,81.581426,2023-02-05,2023-03-12,,Stalled,6957038.56,6900334.17,1033229.45,5867104.72,Surya Power & Solar Ltd,REG-DL-44321,KLMNO1234R,2021-01-08,6723894.59,False,,"Karya 'Community Health Center Expansion' at Gram Panchayat Raipur successfully completed. Total expenditure Rs 1,033,229.45 verified against Sanction Order 2023/MPLAD/10. Site inspection conducted by Junior Engineer PWD on 26-Sep-2023. All quality benchmarks, MB book entries, and muster rolls found satisfactory. Upayogita Praman Patra niyamit hai."
